Epoch: 40 |train loss: 0.0210 |test accuracy: 0.99
Epoch: 40 |train loss: 0.0259 |test accuracy: 0.99
Epoch: 40 |train loss: 0.0159 |test accuracy: 0.99
Epoch: 40 |train loss: 0.0139 |test accuracy: 0.99
Epoch: 40 |train loss: 0.0198 |test accuracy: 0.99
Epoch: 41 |train loss: 0.0179 |test accuracy: 0.99
Epoch: 41 |train loss: 0.0424 |test accuracy: 0.99
Epoch: 41 |train loss: 0.0228 |test accuracy: 0.99
Epoch: 41 |train loss: 0.0609 |test accuracy: 0.99
Epoch: 41 |train loss: 0.0494 |test accuracy: 0.99
Epoch: 42 |train loss: 0.0911 |test accuracy: 0.99
Epoch: 42 |train loss: 0.0209 |test accuracy: 0.99
Epoch: 42 |train loss: 0.0179 |test accuracy: 0.99
Epoch: 42 |train loss: 0.0209 |test accuracy: 0.99
Epoch: 42 |train loss: 0.0498 |test accuracy: 0.99
Epoch: 43 |train loss: 0.0434 |test accuracy: 0.99
Epoch: 43 |train loss: 0.0421 |test accuracy: 0.99
Epoch: 43 |train loss: 0.0371 |test accuracy: 0.99
Epoch: 43 |train loss: 0.0765 |test accuracy: 0.99
Epoch: 43 |train loss: 0.0322 |test accuracy: 0.99
Epoch: 44 |train loss: 0.0492 |test accuracy: 0.99
Epoch: 44 |train loss: 0.0344 |test accuracy: 0.99
Epoch: 44 |train loss: 0.0191 |test accuracy: 0.99
Epoch: 44 |train loss: 0.0238 |test accuracy: 0.99
Epoch: 44 |train loss: 0.0278 |test accuracy: 0.99
Epoch: 45 |train loss: 0.0194 |test accuracy: 0.99
Epoch: 45 |train loss: 0.0349 |test accuracy: 0.99
Epoch: 45 |train loss: 0.0228 |test accuracy: 0.99
Epoch: 45 |train loss: 0.0367 |test accuracy: 0.99
Epoch: 45 |train loss: 0.0553 |test accuracy: 0.99
Epoch: 46 |train loss: 0.0603 |test accuracy: 0.99
Epoch: 46 |train loss: 0.0283 |test accuracy: 0.99
Epoch: 46 |train loss: 0.0387 |test accuracy: 0.99
Epoch: 46 |train loss: 0.0296 |test accuracy: 0.99
Epoch: 46 |train loss: 0.0140 |test accuracy: 0.99
Epoch: 47 |train loss: 0.0245 |test accuracy: 0.99
Epoch: 47 |train loss: 0.0154 |test accuracy: 0.99
Epoch: 47 |train loss: 0.0130 |test accuracy: 0.99
Epoch: 47 |train loss: 0.0356 |test accuracy: 0.99
Epoch: 47 |train loss: 0.0088 |test accuracy: 0.99
Epoch: 48 |train loss: 0.0239 |test accuracy: 0.99
Epoch: 48 |train loss: 0.0563 |test accuracy: 0.99
Epoch: 48 |train loss: 0.0364 |test accuracy: 0.99
Epoch: 48 |train loss: 0.0226 |test accuracy: 0.99
Epoch: 48 |train loss: 0.0423 |test accuracy: 0.99
Epoch: 49 |train loss: 0.0179 |test accuracy: 0.99
Epoch: 49 |train loss: 0.0247 |test accuracy: 0.99
Epoch: 49 |train loss: 0.0316 |test accuracy: 0.99
Epoch: 49 |train loss: 0.0630 |test accuracy: 0.99
Epoch: 49 |train loss: 0.0218 |test accuracy: 0.99
Epoch: 50 |train loss: 0.0345 |test accuracy: 0.99
Epoch: 50 |train loss: 0.0088 |test accuracy: 0.99
Epoch: 50 |train loss: 0.0386 |test accuracy: 0.99
Epoch: 50 |train loss: 0.0112 |test accuracy: 0.99
Epoch: 50 |train loss: 0.0188 |test accuracy: 0.99
Epoch: 51 |train loss: 0.0210 |test accuracy: 0.99
Epoch: 51 |train loss: 0.0399 |test accuracy: 0.99
Epoch: 51 |train loss: 0.1009 |test accuracy: 0.99
Epoch: 51 |train loss: 0.0265 |test accuracy: 0.99
Epoch: 51 |train loss: 0.0172 |test accuracy: 0.99
Epoch: 52 |train loss: 0.0084 |test accuracy: 0.99
Epoch: 52 |train loss: 0.0249 |test accuracy: 0.99
Epoch: 52 |train loss: 0.0560 |test accuracy: 0.99
Epoch: 52 |train loss: 0.0711 |test accuracy: 0.99
Epoch: 52 |train loss: 0.0337 |test accuracy: 0.99
Epoch: 53 |train loss: 0.0415 |test accuracy: 0.99
Epoch: 53 |train loss: 0.0343 |test accuracy: 0.99
Epoch: 53 |train loss: 0.0346 |test accuracy: 0.99
Epoch: 53 |train loss: 0.0163 |test accuracy: 0.99
Epoch: 53 |train loss: 0.0077 |test accuracy: 0.99
Epoch: 54 |train loss: 0.0197 |test accuracy: 0.99
Epoch: 54 |train loss: 0.0113 |test accuracy: 0.99
Epoch: 54 |train loss: 0.0154 |test accuracy: 0.99
Epoch: 54 |train loss: 0.0203 |test accuracy: 0.99
Epoch: 54 |train loss: 0.0173 |test accuracy: 0.99
Epoch: 55 |train loss: 0.0112 |test accuracy: 0.99
Epoch: 55 |train loss: 0.0223 |test accuracy: 0.99
Epoch: 55 |train loss: 0.0127 |test accuracy: 0.99
Epoch: 55 |train loss: 0.0315 |test accuracy: 0.99
Epoch: 55 |train loss: 0.0172 |test accuracy: 0.99
Epoch: 56 |train loss: 0.0524 |test accuracy: 0.99
Epoch: 56 |train loss: 0.0150 |test accuracy: 0.99
Epoch: 56 |train loss: 0.0131 |test accuracy: 0.99
Epoch: 56 |train loss: 0.0467 |test accuracy: 0.99
Epoch: 56 |train loss: 0.0245 |test accuracy: 0.99
Epoch: 57 |train loss: 0.0151 |test accuracy: 0.99
Epoch: 57 |train loss: 0.0234 |test accuracy: 0.99
Epoch: 57 |train loss: 0.0231 |test accuracy: 0.99
Epoch: 57 |train loss: 0.0137 |test accuracy: 0.99
Epoch: 57 |train loss: 0.0177 |test accuracy: 0.99
Epoch: 58 |train loss: 0.0484 |test accuracy: 0.99
Epoch: 58 |train loss: 0.0315 |test accuracy: 0.99
Epoch: 58 |train loss: 0.0119 |test accuracy: 0.99
Epoch: 58 |train loss: 0.0083 |test accuracy: 0.99
Epoch: 58 |train loss: 0.0125 |test accuracy: 0.99
Epoch: 59 |train loss: 0.0194 |test accuracy: 0.99
Epoch: 59 |train loss: 0.0145 |test accuracy: 0.99
Epoch: 59 |train loss: 0.0727 |test accuracy: 0.99
Epoch: 59 |train loss: 0.0239 |test accuracy: 0.99
Epoch: 59 |train loss: 0.0095 |test accuracy: 0.99
Epoch: 60 |train loss: 0.0144 |test accuracy: 0.99
Epoch: 60 |train loss: 0.0313 |test accuracy: 0.99
Epoch: 60 |train loss: 0.0098 |test accuracy: 0.99
Epoch: 60 |train loss: 0.0303 |test accuracy: 0.99
Epoch: 60 |train loss: 0.0429 |test accuracy: 0.99
Epoch: 61 |train loss: 0.0259 |test accuracy: 0.99
Epoch: 61 |train loss: 0.0251 |test accuracy: 0.99
Epoch: 61 |train loss: 0.0327 |test accuracy: 0.99
Epoch: 61 |train loss: 0.0261 |test accuracy: 0.99
Epoch: 61 |train loss: 0.0278 |test accuracy: 0.99
Epoch: 62 |train loss: 0.0206 |test accuracy: 0.99
Epoch: 62 |train loss: 0.0332 |test accuracy: 0.99
Epoch: 62 |train loss: 0.0551 |test accuracy: 0.99
Epoch: 62 |train loss: 0.0117 |test accuracy: 0.99
Epoch: 62 |train loss: 0.0197 |test accuracy: 0.99
Epoch: 63 |train loss: 0.0080 |test accuracy: 0.99
Epoch: 63 |train loss: 0.0366 |test accuracy: 0.99
Epoch: 63 |train loss: 0.0229 |test accuracy: 0.99
Epoch: 63 |train loss: 0.0709 |test accuracy: 0.99
Epoch: 63 |train loss: 0.0199 |test accuracy: 0.99
Epoch: 64 |train loss: 0.0156 |test accuracy: 0.99
Epoch: 64 |train loss: 0.0108 |test accuracy: 0.99
Epoch: 64 |train loss: 0.0137 |test accuracy: 0.99
Epoch: 64 |train loss: 0.0092 |test accuracy: 0.99
Epoch: 64 |train loss: 0.0240 |test accuracy: 0.99
Epoch: 65 |train loss: 0.0294 |test accuracy: 0.99
Epoch: 65 |train loss: 0.0141 |test accuracy: 0.99
Epoch: 65 |train loss: 0.0184 |test accuracy: 0.99
Epoch: 65 |train loss: 0.0249 |test accuracy: 0.99
Epoch: 65 |train loss: 0.0300 |test accuracy: 0.99
Epoch: 66 |train loss: 0.0172 |test accuracy: 0.99
Epoch: 66 |train loss: 0.0267 |test accuracy: 0.99
Epoch: 66 |train loss: 0.0196 |test accuracy: 0.99
Epoch: 66 |train loss: 0.0201 |test accuracy: 0.99
Epoch: 66 |train loss: 0.0174 |test accuracy: 0.99
Epoch: 67 |train loss: 0.0124 |test accuracy: 0.99
Epoch: 67 |train loss: 0.0151 |test accuracy: 0.99
Epoch: 67 |train loss: 0.0054 |test accuracy: 0.99
Epoch: 67 |train loss: 0.0205 |test accuracy: 0.99
Epoch: 67 |train loss: 0.0123 |test accuracy: 0.99
Epoch: 68 |train loss: 0.0290 |test accuracy: 0.99
Epoch: 68 |train loss: 0.0032 |test accuracy: 0.99
Epoch: 68 |train loss: 0.0179 |test accuracy: 0.99
Epoch: 68 |train loss: 0.0164 |test accuracy: 0.99
Epoch: 68 |train loss: 0.0191 |test accuracy: 0.99
Epoch: 69 |train loss: 0.0041 |test accuracy: 0.99
Epoch: 69 |train loss: 0.0428 |test accuracy: 0.99
